Year,Rank,Country,Dance_Type,Category_Standardized,Division,Studio_Name_Clean,Team_Name_Clean
2018,5,USA,Jazz,Open Jazz,Open,Ultimate Dance Centre,Ultimate Dance Centre – Ultimate Rock Stars
2015,6,Japan,Jazz,Open Jazz,Open,Golden Hawks,Golden Hawks
2016,6,Ecuador,Jazz,Open Jazz,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Turn To Stone
2017,6,Ukraine,Jazz,Open Jazz,Open,Odessa Regional Federation,Odessa Regional Federation
2018,6,Ecuador,Jazz,Open Jazz,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza – Guess Who’S Back
2015,7,USA,Jazz,Open Jazz,Open,Millenium Dancers,Millenium - Dancers
2016,7,China,Jazz,Open Jazz,Open,Team East China Normal University,Team East China Normal University
2017,7,Scotland,Jazz,Open Jazz,Open,Brisbane School Of Dance,Brisbane School Of Dance
2018,7,Scotland,Jazz,Open Jazz,Open,Brisbane School Of Dance,Brisbane School Of Dance – Ultimate Uproar
2015,8,Ecuador,Jazz,Open Jazz,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Ramalama
2016,8,England,Jazz,Open Jazz,Open,Sa Academy,Sa Academy
2017,8,USA,Jazz,Open Jazz,Open,Saca Supreme,Saca Supreme
2018,8,USA,Jazz,Open Jazz,Open,Nrg All Stars,Nrg Studios – Nrg All Stars
2015,9,USA,Jazz,Open Jazz,Open,Novadanza,Novadanza - Personal Jesus
2016,9,USA,Jazz,Open Jazz,Open,Cheertastic Dance And Cheerleading,Cheertastic Dance And Cheerleading - Dream Stars
2017,9,Australia,Jazz,Open Jazz,Open,The Mathis School Of Dancing,Mathis Dance Studio
2018,9,USA,Jazz,Open Jazz,Open,Sharon Ann Cheer Academy,Sharon Ann Academy Of Cheer & Dance – Sa
2015,10,Wales,Jazz,Open Jazz,Open,Rsd,Rsd Action - Leading Ladies
2016,10,Japan,Jazz,Open Jazz,Open,Dsf Brilliants,Dsf Brilliants
2017,10,Ecuador,Jazz,Open Jazz,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza
2018,10,Wales,Jazz,Open Jazz,Open,Rsd,Rsd Action – Rsd Leading Ladies
2016,11,Scotland,Jazz,Open Jazz,Open,Brisbane School Of Dance,Brisbane School Of Dance - Ultimate Uproar
2017,11,Colombia,Jazz,Open Jazz,Open,Golden Girls,The Golden Girls
2016,12,USA,Jazz,Open Jazz,Open,Top Dance Studio,Top Dance Studio
2017,12,Mexico,Jazz,Open Jazz,Open,Dancing Dream Center,Dancing Dream Center
2016,13,Chile,Jazz,Open Jazz,Open,Union Dance Rancaqua,Union Dance Rancaqua
2016,14,Scotland,Jazz,Open Jazz,Open,Jc Dance And Cheer Academy,Jc Dance And Cheer Academy - Glitter White
2016,15,Ukraine,Jazz,Open Jazz,Open,Team Ukraine,Ukraine
2016,16,Germany,Jazz,Open Jazz,Open,Msv 90 E V,Msv 90 E V - Guardian Angels
2016,17,France,Jazz,Open Jazz,Open,Fever Cheerdance,Fever Cheerdance
2015,1,USA,Pom,Open Pom,Open,Pace Elite,Pace Elite
2016,1,USA,Pom,Open Pom,Open,Energizers Dance Team,Energizers Dance Team
2017,1,Japan,Pom,Open Pom,Open,Planets Dance Company,Planets
2018,1,USA,Pom,Open Pom,Open,Energizers Dance Team,Energizers
2015,2,Japan,Pom,Open Pom,Open,Planets Dance Company,Planets
2016,2,USA,Pom,Open Pom,Open,Pace Elite,Pace Elite
2017,2,USA,Pom,Open Pom,Open,Energizers Dance Team,Energizers- Open Pom
2018,2,Japan,Pom,Open Pom,Open,Wing Dance Promotion,Wing Dance Production – Silver Wings
2015,3,USA,Pom,Open Pom,Open,South Coast Freestyle,South Coast Freestyle
2016,3,Japan,Pom,Open Pom,Open,Abe Dance Promotion,Abe Dance Promotion - Blue Force
2017,3,USA,Pom,Open Pom,Open,Pace Elite,Pace Elite- Freedom
2018,3,Japan,Pom,Open Pom,Open,Golden Hawks,Golden Hawks
2015,4,USA,Pom,Open Pom,Open,The Vision Dance Center,The Vision Dance Center
2016,4,USA,Pom,Open Pom,Open,South Coast Freestyle,South Coast Freestyle
2017,4,Japan,Pom,Open Pom,Open,Golden Hawks,Kashiwa Golden Hawks
2018,4,Scotland,Pom,Open Pom,Open,Gold Star Cheer & Dance,Gold Star Cheer And Dance Ltd – Gold Star Galaxy
2015,5,Japan,Pom,Open Pom,Open,Golden Hawks,Golden Hawks
2016,5,Japan,Pom,Open Pom,Open,Golden Hawks,Golden Hawks
2017,5,Japan,Pom,Open Pom,Open,Wing Dance Promotion Silver Wings,Wing Dance Promotion- Silver Wings
2018,5,USA,Pom,Open Pom,Open,Starz Dance Academy,Starz Dance Academy – Starz Elite
2015,6,Mexico,Pom,Open Pom,Open,Dragones Dream Center Mexico,Dragones Dream Center
2016,6,USA,Pom,Open Pom,Open,Top Dance Studio,Top Dance Studio
2017,6,USA,Pom,Open Pom,Open,Starz Dance Academy,Starz Dance Academy
2018,6,Japan,Pom,Open Pom,Open,Planets Dance Company,Planets Dance Company – Planets West
2015,7,Japan,Pom,Open Pom,Open,Abe Dance Promotion,Abe Dance Promotion - Blue Force
2016,7,Japan,Pom,Open Pom,Open,Wing Dance Promotion,Wing Dance Promotion - Silver Wings
2017,7,Scotland,Pom,Open Pom,Open,Gold Star,Gold Star- Galaxy
2018,7,Scotland,Pom,Open Pom,Open,Jc Dance And Cheer Academy,Jc Cheer And Dance Academy – Jc Glitter White
2015,8,Colombia,Pom,Open Pom,Open,Golden Girls,The Golden Girls
2016,8,Mexico,Pom,Open Pom,Open,All Star Studio 74,All Star Studio 74
2017,8,Scotland,Pom,Open Pom,Open,Jc Dance And Cheer Academy,Jc Dance And Cheer Academy- Jc Glitter White
2018,8,USA,Pom,Open Pom,Open,Top Dance Studio,Top Dance – Td&B All Stars
2015,9,Scotland,Pom,Open Pom,Open,Jc Dance And Cheer Academy,Jc Dance & Cheer - Glitter White
2016,9,Scotland,Pom,Open Pom,Open,Gold Star,Gold Star - Galaxy
2017,9,Mexico,Pom,Open Pom,Open,Rocheer,Rocheer And Top Dance
2018,9,Australia,Pom,Open Pom,Open,Melbourne University Cheer And Dance,Melbourne University Cheer And Dance – Heat
2018,9,Scotland,Pom,Open Pom,Open,Phoenix Flames,Phoenix Flames – Elite
2015,10,Wales,Pom,Open Pom,Open,Rsd,Rsd Action - Leading Ladies
2016,10,China,Pom,Open Pom,Open,Team Nanjing,Team Nanjing
2017,10,Wales,Pom,Open Pom,Open,Rsd,Rsd Action- Rsd Leading Ladies
2018,10,China,Pom,Open Pom,Open,Chongqing No 29 Middle School,Chongqing No 29 Middle School – Sparkle
2016,11,Colombia,Pom,Open Pom,Open,Golden Dance Academy,Golden Dance Academy - Golden Girls
2017,11,Scotland,Pom,Open Pom,Open,Phoenix Flames,Phoenix Flames
2018,11,Wales,Pom,Open Pom,Open,Rsd,Rsd Action – Rsd Leading Ladies
2016,12,Scotland,Pom,Open Pom,Open,Phoenix Flames,Phoenix Flames
2017,12,Mexico,Pom,Open Pom,Open,Dancing Dream Center,Dancing Dream Center
2018,12,England,Pom,Open Pom,Open,Hawks Cheer And Dance,Hawks Cheer And Dance – Intensity Diamonds
2016,13,Scotland,Pom,Open Pom,Open,Jc Dance And Cheer Academy,Jc Dance And Cheer Academy - White
2017,13,Ukraine,Pom,Open Pom,Open,Odessa Regional Federation,Odessa Regional Federation
2018,13,USA,Pom,Open Pom,Open,Team Russia,Team Russia – Neodace Russia
2016,14,Colombia,Pom,Open Pom,Open,Leopardos,Leopardos
2017,14,Australia,Pom,Open Pom,Open,Monash Mystics,Monash Mystics
2018,14,Colombia,Pom,Open Pom,Open,Golden Dance Academy,Golden Dance Academy – Golden Girls
2016,15,Taiwan,Pom,Open Pom,Open,Chinese Taipei Cheerleading Assoc,Chinese Taipei Cheerleading Assoc
2017,15,Colombia,Pom,Open Pom,Open,Golden Girls,The Golden Girls
2018,15,USA,Pom,Open Pom,Open,Starlets,Starlets Cheerleading – Stealth
2016,16,Australia,Pom,Open Pom,Open,Rmit Cheerleading Club,Rmit Cheerleading Club - Redbacks
2017,16,USA,Pom,Open Pom,Open,Electric Girls,Electric Girls Dance
2018,16,Colombia,Pom,Open Pom,Open,Beijing Youth Politics College,Beijing Youth Politics College – Team Flower
2016,17,England,Pom,Open Pom,Open,Red Hot Flames,Red Hot Flames
2017,17,Denmark,Pom,Open Pom,Open,Julle United Dansforening - Allstars,Julle Allstars
2018,17,Switzerland,Pom,Open Pom,Open,Eurodancers,Eurodancers
2016,18,USA,Pom,Open Pom,Open,Inferno Cheer & Dance,Inferno Cheer & Dance - Fenix
2017,18,Australia,Pom,Open Pom,Open,Pure Allstars,Pure Allstars Passion
2018,18,Mexico,Pom,Open Pom,Open,Synergy (Mexico),Synergy
2016,19,Australia,Pom,Open Pom,Open,North Queensland Warriors Cheer & Dance,North Queensland Warriors Cheer & Dance - Reign
2017,19,Croatia,Pom,Open Pom,Open,Dance Kraljica,Dance Kraljica
2018,19,Norway,Pom,Open Pom,Open,Sirens Dance Team,Sirens Dance Team – Sirens Senior Elite
2016,20,Colombia,Pom,Open Pom,Open,Club Deportivo Titanes All Stars,Club Deportivo Roka
2017,20,Chile,Pom,Open Pom,Open,Fire Wings (Chile),Fire Wings- Instituto Santa Maria
2018,20,Mexico,Pom,Open Pom,Open,Cuam,Cuam Morelos
2016,21,Norway,Pom,Open Pom,Open,Sirens Cheerdance Klubb,Sirens Cheerdance Klubb
2017,21,Norway,Pom,Open Pom,Open,Kif Dance,Kif Dance - Kif Studio 3 Magnetic
2018,21,USA,Pom,Open Pom,Open,Gubkin Russian State University,Gubkin Russian State University – Barrel
2016,22,USA,Pom,Open Pom,Open,Cheersport North Queensland,Cheersport North Queensland - Powerhouse
2017,22,Mexico,Pom,Open Pom,Open,Cuam,Cuam Mexico
2018,22,Germany,Pom,Open Pom,Open,Silver Stars,Silver Stars Cheerleader
2016,23,USA,Pom,Open Pom,Open,Sc Buschhausen,Sc Buschhausen - Silver Stars
2017,23,Colombia,Pom,Open Pom,Open,Club Gorilas,Club Gorilas
2018,23,Czech Republic,Pom,Open Pom,Open,A Styl Dragons,A Styl Dragons – Junior Dragons
2018,23,Columbia,Pom,Open Pom,Open,Normal Superior,Normal Superior
2016,24,Poland,Pom,Open Pom,Open,Dream Team Senior,Dream Team Senior - Wedding
2017,24,South Korea,Pom,Open Pom,Open,Magic Devils,Magic Devils
2018,24,USA,Pom,Open Pom,Open,Mk Diamonds,Mk Diamonds
2017,25,France,Pom,Open Pom,Open,Wolves Army Cheer,Wolves Army Cheer
2018,25,Italy,Pom,Open Pom,Open,Fisac,Fisac
2017,26,Brazil,Pom,Open Pom,Open,Team Pom Brazil,Team Pom Brazil
2018,26,Brazil,Pom,Open Pom,Open,Brasilia Xtreme,Brasilia Xtreme
2015,1,USA,Hip Hop,Open Coed Hip Hop,Open,Premier Athletics - Clayton Shockers,Premier Athletics Clayton Shockers - Supanovaz
2016,1,USA,Hip Hop,Open Coed Hip Hop,Open,Next Level Dance Co,Next Level Dance Co - Supremacy
2017,1,Japan,Hip Hop,Open Coed Hip Hop,Open,World Wings,World Wings
2018,1,Japan,Hip Hop,Open Coed Hip Hop,Open,World Wings,World Wings
2015,2,USA,Hip Hop,Open Coed Hip Hop,Open,Extreme All Stars | Florida,Extreme All Stars
2016,2,USA,Hip Hop,Open Coed Hip Hop,Open,Extreme All Stars | Florida,Extreme All Stars
2017,2,England,Hip Hop,Open Coed Hip Hop,Open,Ada Dark Angels,Ada
2018,2,Mexico,Hip Hop,Open Coed Hip Hop,Open,Midrash Dance Centre,Midrash Dance Centre
2015,3,USA,Hip Hop,Open Coed Hip Hop,Open,Pittsburgh Poison,Pittsburgh Poison
2016,3,England,Hip Hop,Open Coed Hip Hop,Open,Ada,Ada - Dark Angels
2017,3,USA,Hip Hop,Open Coed Hip Hop,Open,Top Gun All Stars Main Location Miami,Top Gun All Stars
2018,3,Scotland,Hip Hop,Open Coed Hip Hop,Open,Gold Star,Gold Star – Team X
2015,4,Chile,Hip Hop,Open Coed Hip Hop,Open,Elite Dance Center,Elite Dance Center
2016,4,USA,Hip Hop,Open Coed Hip Hop,Open,Pittsburgh Poison,Pittsburgh Poison - Black Frogs
2017,4,USA,Hip Hop,Open Coed Hip Hop,Open,Jordan Johnson Productions,Jordan Johnson Productions
2018,4,Chile,Hip Hop,Open Coed Hip Hop,Open,Elite Dance Center,Elite Dance Center – Edc Black Bulls
2015,5,England,Hip Hop,Open Coed Hip Hop,Open,Ada Dark Angels,Ada Dark Angels
2016,5,Japan,Hip Hop,Open Coed Hip Hop,Open,Uis,Uis
2017,5,Japan,Hip Hop,Open Coed Hip Hop,Open,Uis,Uis
2018,5,USA,Hip Hop,Open Coed Hip Hop,Open,Next Level Dance Co,Next Level Dance Co – Supremacy
2015,6,Mexico,Hip Hop,Open Coed Hip Hop,Open,Rockets,Rockets
2016,6,Ecuador,Hip Hop,Open Coed Hip Hop,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Soldiers Evolution
2017,6,USA,Hip Hop,Open Coed Hip Hop,Open,Next Level Dance Co,Next Level Dance Co.- Supremecy
2018,6,USA,Hip Hop,Open Coed Hip Hop,Open,Top Gun All Stars Main Location Miami,Top Gun All Stars – Int Open Coed Hip Hop
2015,7,Colombia,Hip Hop,Open Coed Hip Hop,Open,Uniques,Uniques Academy
