Year,Division,Category,Dance_Type,Team_Size,Is_Coed,Rank,Is_Champion,Is_Podium,Is_Top_10,Studio_Name,Team_Name,Country
2015,Open,Open Pom,Pom,Standard,No,1,1,1,1,Pace Elite,Pace Elite,USA
2015,Open,Open Pom,Pom,Standard,No,2,0,1,1,Planets Dance Company,Planets,Japan
2015,Open,Open Pom,Pom,Standard,No,3,0,1,1,South Coast Freestyle,South Coast Freestyle,USA
2015,Open,Open Pom,Pom,Standard,No,4,0,0,1,The Vision Dance Center,The Vision Dance Center,USA
2015,Open,Open Pom,Pom,Standard,No,5,0,0,1,Golden Hawks,Golden Hawks,Japan
2015,Open,Open Pom,Pom,Standard,No,6,0,0,1,Dragones Dream Center Mexico,Dragones Dream Center,Mexico
2015,Open,Open Pom,Pom,Standard,No,7,0,0,1,Abe Dance Promotion,Abe Dance Promotion - Blue Force,Japan
2015,Open,Open Pom,Pom,Standard,No,8,0,0,1,Golden Girls,The Golden Girls,Colombia
2015,Open,Open Pom,Pom,Standard,No,9,0,0,1,Jc Dance And Cheer Academy,Jc Dance & Cheer - Glitter White,Scotland
2015,Open,Open Pom,Pom,Standard,No,10,0,0,1,Rsd,Rsd Action - Leading Ladies,Wales
2015,Senior,Senior Jazz,Jazz,Standard,No,1,1,1,1,Dancer'S Edge Studio,Dancers Edge - Sr Silver Jazz,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,2,0,1,1,Dancin Bluebonnets,Dancin Bluebonnets,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,3,0,1,1,Pace Elite,Pace Elite,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,4,0,0,1,Energizers Dance Team,Energizers Dance Team,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,5,0,0,1,The Vision Dance Center,The Vision Dance Center,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,6,0,0,1,Star Performance Centre,Star Performance Centre,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,7,0,0,1,Music City All Stars,Music City All Stars,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,8,0,0,1,Dance Mania,Dance Mania,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,9,0,0,1,Dancer'S Edge Studio,Dancers Edge - Sr Blue Jazz,USA
2015,Senior,Senior Jazz,Jazz,Standard,No,10,0,0,1,Champion Legacy,Champion Legacy,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,1,1,1,1,Power House Of Dance,Power House Of Dance - Street,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,2,0,1,1,Pittsburgh Poison,Pittsburgh Poison - Cyanide,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,3,0,1,1,Star Performance Centre,Star Performance Centre,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,4,0,0,1,Extreme All Stars | Florida,Extreme All Stars,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,5,0,0,1,Adrenaline All Stars,Adrenaline All Stars - Thunder Crew,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,6,0,0,1,Premier Athletics - Clayton Shockers,Premier Athletics Clayton - Scorpio,USA
2015,Senior,Senior Large Coed Hip Hop,Hip Hop,Large,Yes,7,0,0,1,Dance Force Studios,Dance Force Studios - Vitality,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,1,1,1,1,Champion Legacy,Champion Legacy,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,2,0,1,1,South Jersey Storm,South Jersey Storm - Whirlwind,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,3,0,1,1,Extreme All Stars | Florida,Extreme All Stars,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,4,0,0,1,Legendary Athletics North,Legendary Athletics,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,5,0,0,1,Star Performance Centre,Star Performance Centre,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,6,0,0,1,The Vision Dance Center,The Vision Dance Center,USA
2015,Senior,Senior Large Hip Hop,Hip Hop,Large,No,7,0,0,1,Colegio San Ignacio,Colegio San Ignacio,USA
2015,Senior,Senior Pom,Pom,Standard,No,1,1,1,1,Energizers Dance Team,Energizers Dance Team Test,USA
2015,Senior,Senior Pom,Pom,Standard,No,2,0,1,1,Cheers Factory,Cheers Factory,USA
